elec_pos,depth,rho,cond
42.75,1.912,121.97,0.008199
44.25,1.912,119.48,0.00837
45.75,1.912,120.39,0.008306
47.25,1.912,160.16,0.006244
48.75,1.912,167.34,0.005976
50.25,1.912,168.4,0.005938
51.75,1.912,148.29,0.006744
53.25,1.912,143.66,0.006961
54.75,1.912,162.65,0.006148
56.25,1.912,154.51,0.006472
57.75,1.912,184.99,0.005406
59.25,1.912,478.05,0.002092
60.75,1.912,224.35,0.004457
62.25,1.912,171.08,0.005845
63.75,1.912,181.27,0.005517
65.25,1.912,1082.1,0.000924
66.75,1.912,235.7,0.004243
68.25,1.912,242.73,0.00412
69.75,1.912,1763.5,0.000567
71.25,1.912,371.7,0.00269
72.75,1.912,449.05,0.002227
74.25,1.912,370.17,0.002701
75.75,1.912,38.358,0.0261
77.25,1.912,26.95,0.0371
78.75,1.912,336.74,0.00297
80.25,1.912,277.34,0.003606
81.75,1.912,108.38,0.009227
83.25,1.912,116.89,0.008555
84.75,1.912,93.936,0.0106
86.25,1.912,82.459,0.0121
87.75,1.912,86.148,0.0116
89.25,1.912,98.155,0.0102
90.75,1.912,140.65,0.00711
92.25,1.912,119.41,0.008375
93.75,1.912,119.94,0.008338
95.25,1.912,116.4,0.008591
96.75,1.912,108.72,0.009198
98.25,1.912,119.71,0.008354
99.75,1.912,133.68,0.007481
101.25,1.912,114.16,0.00876
102.75,1.912,110.61,0.009041
104.25,1.912,100.93,0.009908
105.75,1.912,84.382,0.0119
107.25,1.912,86.17,0.0116
108.75,1.912,60.81,0.0164
110.25,1.912,58.549,0.0171
111.75,1.912,57.893,0.0173
113.25,1.912,51.396,0.0195
114.75,1.912,59.945,0.0167
116.25,1.912,68.743,0.0145
117.75,1.912,69.06,0.0145
119.25,1.912,88.064,0.0114
0.75,2.779,171.7,0.005824
2.25,2.779,162.59,0.00615
3.75,2.779,114.05,0.008768
5.25,2.779,84.784,0.0118
6.75,2.779,65.98,0.0152
8.25,2.779,57.342,0.0174
9.75,2.779,52.294,0.0191
11.25,2.779,52.221,0.0191
12.75,2.779,63.445,0.0158
14.25,2.779,70.97,0.0141
15.75,2.779,74.402,0.0134
17.25,2.779,68.555,0.0146
18.75,2.779,69.451,0.0144
20.25,2.779,66.922,0.0149
21.75,2.779,63.48,0.0158
23.25,2.779,67.223,0.0149
24.75,2.779,70.975,0.0141
26.25,2.779,78.508,0.0127
27.75,2.779,86.839,0.0115
29.25,2.779,95.241,0.0105
30.75,2.779,104.34,0.009584
32.25,2.779,125.25,0.007984
33.75,2.779,156.74,0.00638
35.25,2.779,48.843,0.0205
36.75,2.779,54.126,0.0185
38.25,2.779,54.783,0.0183
39.75,2.779,53.72,0.0186
41.25,2.779,71.547,0.014
42.75,2.779,108.33,0.009231
44.25,2.779,112.05,0.008925
45.75,2.779,119.89,0.008341
47.25,2.779,144.95,0.006899
48.75,2.779,156.83,0.006376
50.25,2.779,158.8,0.006297
51.75,2.779,146.03,0.006848
53.25,2.779,145.76,0.006861
54.75,2.779,157.35,0.006355
56.25,2.779,151.07,0.006619
57.75,2.779,162.77,0.006144
59.25,2.779,162.02,0.006172
60.75,2.779,156.2,0.006402
62.25,2.779,149,0.006711
63.75,2.779,170.87,0.005852
65.25,2.779,1150.6,0.000869
66.75,2.779,1320.7,0.000757
68.25,2.779,2198.9,0.000455
69.75,2.779,1956.6,0.000511
71.25,2.779,628.91,0.00159
72.75,2.779,577.29,0.001732
74.25,2.779,440.61,0.00227
75.75,2.779,33.845,0.0295
77.25,2.779,34.265,0.0292
78.75,2.779,113.42,0.008817
80.25,2.779,114.12,0.008763
81.75,2.779,111.22,0.008991
83.25,2.779,113.22,0.008832
84.75,2.779,93.197,0.0107
86.25,2.779,81.241,0.0123
87.75,2.779,87.089,0.0115
89.25,2.779,95.453,0.0105
90.75,2.779,111.06,0.009004
92.25,2.779,113.22,0.008832
93.75,2.779,116.1,0.008613
95.25,2.779,117.65,0.0085
96.75,2.779,115.85,0.008632
98.25,2.779,117.98,0.008476
99.75,2.779,125.15,0.00799
101.25,2.779,112.04,0.008925
102.75,2.779,105.6,0.00947
104.25,2.779,97.168,0.0103
105.75,2.779,83.747,0.0119
107.25,2.779,82.999,0.012
108.75,2.779,61.721,0.0162
110.25,2.779,57.978,0.0172
111.75,2.779,57.686,0.0173
113.25,2.779,58.405,0.0171
114.75,2.779,62.616,0.016
116.25,2.779,65.878,0.0152
117.75,2.779,65.353,0.0153
119.25,2.779,62.184,0.0161
0.75,3.732,170.77,0.005856
2.25,3.732,154.16,0.006487
3.75,3.732,130.59,0.007658
5.25,3.732,101.65,0.009838
6.75,3.732,71.877,0.0139
8.25,3.732,57.127,0.0175
9.75,3.732,54.512,0.0183
11.25,3.732,54.218,0.0184
12.75,3.732,67.877,0.0147
