elec_pos,depth,rho,cond
14.25,4.78,552.82,0.001809
15.75,4.78,449.98,0.002222
17.25,4.78,386.26,0.002589
18.75,4.78,373.66,0.002676
20.25,4.78,350.97,0.002849
21.75,4.78,299.13,0.003343
23.25,4.78,288.32,0.003468
24.75,4.78,284.45,0.003516
26.25,4.78,302.06,0.003311
27.75,4.78,323.15,0.003095
29.25,4.78,330.45,0.003026
30.75,4.78,330.1,0.003029
32.25,4.78,318.13,0.003143
33.75,4.78,311.61,0.003209
35.25,4.78,304.71,0.003282
36.75,4.78,295.45,0.003385
38.25,4.78,282.05,0.003545
39.75,4.78,272.45,0.00367
41.25,4.78,254.61,0.003928
42.75,4.78,227.05,0.004404
44.25,4.78,191.58,0.00522
45.75,4.78,174.37,0.005735
0.75,5.933,225.59,0.004433
2.25,5.933,237.17,0.004216
3.75,5.933,259.89,0.003848
5.25,5.933,291.67,0.003429
6.75,5.933,362.82,0.002756
8.25,5.933,430.57,0.002323
9.75,5.933,455.02,0.002198
11.25,5.933,520.66,0.001921
12.75,5.933,541.09,0.001848
14.25,5.933,540.36,0.001851
15.75,5.933,472.91,0.002115
17.25,5.933,439.38,0.002276
18.75,5.933,407.99,0.002451
20.25,5.933,382.78,0.002612
21.75,5.933,333.99,0.002994
23.25,5.933,316.83,0.003156
24.75,5.933,310.86,0.003217
26.25,5.933,302.97,0.003301
27.75,5.933,303.75,0.003292
29.25,5.933,319.69,0.003128
30.75,5.933,317.84,0.003146
32.25,5.933,313.38,0.003191
33.75,5.933,309.63,0.00323
35.25,5.933,303.17,0.003298
36.75,5.933,292.78,0.003416
38.25,5.933,279.1,0.003583
39.75,5.933,268.5,0.003724
41.25,5.933,248.87,0.004018
42.75,5.933,220.29,0.004539
44.25,5.933,189.54,0.005276
45.75,5.933,177.44,0.005636
0.75,7.201,214.63,0.004659
2.25,7.201,221.21,0.004521
3.75,7.201,239.02,0.004184
5.25,7.201,270.22,0.003701
6.75,7.201,325.27,0.003074
