elec_pos,depth,rho,cond,groundwater_presence
99.75,1.125,173.4,0.005767,0
101.25,1.125,70.18,0.0142,1
102.75,1.125,123.66,0.008087,0
104.25,1.125,170.09,0.005879,0
105.75,1.125,126.12,0.007929,0
107.25,1.125,161.9,0.006177,0
108.75,1.125,61.305,0.0163,1
110.25,1.125,67.377,0.0148,1
111.75,1.125,74.75,0.0134,1
113.25,1.125,31.824,0.0314,1
114.75,1.125,42.291,0.0236,1
116.25,1.125,44.286,0.0226,1
117.75,1.125,43.308,0.0231,1
119.25,1.125,93.05,0.0107,1
0.75,1.912,172.7,0.00579,0
2.25,1.912,162.94,0.006137,0
3.75,1.912,61.332,0.0163,1
5.25,1.912,63.77,0.0157,1
6.75,1.912,66.197,0.0151,1
8.25,1.912,62.102,0.0161,1
9.75,1.912,52.796,0.0189,1
11.25,1.912,51.841,0.0193,1
12.75,1.912,67.862,0.0147,1
14.25,1.912,71.08,0.0141,1
15.75,1.912,74.679,0.0134,1
17.25,1.912,53.29,0.0188,1
18.75,1.912,56.579,0.0177,1
20.25,1.912,51.679,0.0194,1
21.75,1.912,60.789,0.0165,1
23.25,1.912,65.274,0.0153,1
24.75,1.912,59.354,0.0168,1
26.25,1.912,59.867,0.0167,1
27.75,1.912,82.232,0.0122,1
29.25,1.912,76.87,0.013,1
30.75,1.912,96.84,0.0103,1
32.25,1.912,98.987,0.0101,1
33.75,1.912,122.97,0.008132,0
35.25,1.912,44.253,0.0226,1
36.75,1.912,60.55,0.0165,1
38.25,1.912,48.726,0.0205,1
39.75,1.912,48.707,0.0205,1
41.25,1.912,108.36,0.009228,0
42.75,1.912,121.97,0.008199,0
44.25,1.912,119.48,0.00837,0
45.75,1.912,120.39,0.008306,0
47.25,1.912,160.16,0.006244,0
48.75,1.912,167.34,0.005976,0
50.25,1.912,168.4,0.005938,0
51.75,1.912,148.29,0.006744,0
53.25,1.912,143.66,0.006961,0
54.75,1.912,162.65,0.006148,0
56.25,1.912,154.51,0.006472,0
57.75,1.912,184.99,0.005406,0
59.25,1.912,478.05,0.002092,0
60.75,1.912,224.35,0.004457,0
62.25,1.912,171.08,0.005845,0
63.75,1.912,181.27,0.005517,0
65.25,1.912,1082.1,0.000924,0
66.75,1.912,235.7,0.004243,0
68.25,1.912,242.73,0.00412,0
69.75,1.912,1763.5,0.000567,0
71.25,1.912,371.7,0.00269,0
72.75,1.912,449.05,0.002227,0
74.25,1.912,370.17,0.002701,0
75.75,1.912,38.358,0.0261,1
77.25,1.912,26.95,0.0371,1
78.75,1.912,336.74,0.00297,0
80.25,1.912,277.34,0.003606,0
81.75,1.912,108.38,0.009227,0
83.25,1.912,116.89,0.008555,0
84.75,1.912,93.936,0.0106,1
86.25,1.912,82.459,0.0121,1
87.75,1.912,86.148,0.0116,1
89.25,1.912,98.155,0.0102,1
90.75,1.912,140.65,0.00711,0
92.25,1.912,119.41,0.008375,0
93.75,1.912,119.94,0.008338,0
95.25,1.912,116.4,0.008591,0
96.75,1.912,108.72,0.009198,0
98.25,1.912,119.71,0.008354,0
99.75,1.912,133.68,0.007481,0
101.25,1.912,114.16,0.00876,0
102.75,1.912,110.61,0.009041,0
104.25,1.912,100.93,0.009908,0
105.75,1.912,84.382,0.0119,1
107.25,1.912,86.17,0.0116,1
108.75,1.912,60.81,0.0164,1
